Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
User 4,Source 0,signupPrompt,,,2022-10-08 14:04:47
User 4,Source 0,browseTitles,,,2022-10-08 14:04:46
User 4,Source 1,movieDetails,,,2022-09-30 14:53:50
User 4,Source 1,browseTitles,,,2022-09-30 14:53:50
User 4,Source 1,movieDetails,,,2022-09-30 14:53:49
User 4,Source 1,episodesSelector,,,2022-09-30 14:53:49
User 4,Source 1,episodesSelector,,,2022-09-30 14:53:24
User 4,Source 1,movieDetails,,,2022-09-30 14:53:24
User 4,Source 1,playback,,,2022-09-30 14:53:20
User 4,Source 1,movieDetails,,,2022-09-30 14:53:20
User 4,Source 1,movieDetails,,,2022-09-30 14:53:07
User 4,Source 1,playback,,,2022-09-30 14:53:07
User 4,Source 1,profilesGate,,,2022-09-30 14:52:59
User 4,Source 1,movieDetails,,,2022-09-30 14:52:59
User 4,Source 1,profilesGate,,,2022-09-30 14:52:58
User 4,Source 0,profilesGate,,,2022-09-25 04:48:22
User 4,Source 0,browseTitles,,,2022-09-25 04:48:22
User 4,Source 0,browseTitles,,,2022-09-25 04:48:22
User 4,Source 0,browseTitles,,,2022-09-25 04:48:22
User 4,Source 0,settings,,,2022-09-24 21:52:55
User 4,Source 0,accountMenu,,,2022-09-24 21:52:54
User 4,Source 0,webLink,,,2022-09-24 21:52:51
User 4,Source 0,accountMenu,,,2022-09-24 21:52:51
User 4,Source 0,accountMenu,,,2022-09-24 21:52:30
User 4,Source 0,webLink,,,2022-09-24 21:52:30
User 4,Source 0,browseTitles,,,2022-09-24 21:52:26
User 4,Source 0,accountMenu,,,2022-09-24 21:52:26
User 4,Source 0,profilesGate,,,2022-09-24 21:52:22
User 4,Source 0,browseTitles,,,2022-09-24 21:52:22
User 4,Source 1,playback,,,2022-09-22 09:57:58
User 4,Source 1,postPlay,,,2022-09-22 09:57:58
User 4,Source 1,movieDetails,,,2022-09-22 08:50:18
User 4,Source 1,playback,,,2022-09-22 08:50:18
User 4,Source 1,profilesGate,,,2022-09-22 08:50:15
User 4,Source 1,profilesGate,,,2022-09-22 08:50:15
User 4,Source 1,movieDetails,,,2022-09-22 08:50:15
User 4,Source 1,screenSaver,,,2022-09-22 05:15:47
User 4,Source 1,movieDetails,,,2022-09-22 05:15:47
User 4,Source 1,movieDetails,,,2022-09-22 05:15:47
User 4,Source 1,screenSaver,,,2022-09-22 05:15:47
User 4,Source 1,movieDetails,,,2022-09-22 05:10:46
User 4,Source 1,screenSaver,,,2022-09-22 05:10:46
User 4,Source 1,playback,,,2022-09-22 05:05:49
User 4,Source 1,movieDetails,,,2022-09-22 05:05:49
User 4,Source 1,playback,,,2022-09-22 04:30:52
User 4,Source 1,movieDetails,,,2022-09-22 04:30:52
User 4,Source 1,profilesGate,,,2022-09-22 04:30:48
User 4,Source 1,movieDetails,,,2022-09-22 04:30:48
User 4,Source 1,profilesGate,,,2022-09-22 04:30:47
User 4,Source 1,screenSaver,,,2022-09-21 16:18:59
User 4,Source 1,movieDetails,,,2022-09-21 16:18:59
User 4,Source 1,movieDetails,,,2022-09-21 16:13:53
User 4,Source 1,screenSaver,,,2022-09-21 16:13:53
User 4,Source 1,playback,,,2022-09-21 15:54:00
User 4,Source 1,movieDetails,,,2022-09-21 15:54:00
User 4,Source 1,movieDetails,,,2022-09-21 15:19:38
User 4,Source 1,playback,,,2022-09-21 15:19:38
User 4,Source 1,profilesGate,,,2022-09-21 15:19:33
User 4,Source 1,movieDetails,,,2022-09-21 15:19:33
User 4,Source 1,profilesGate,,,2022-09-21 15:19:32
User 4,Source 1,movieDetails,,,2022-09-20 15:21:45
User 4,Source 1,playback,,,2022-09-20 15:21:45
User 4,Source 1,movieDetails,,,2022-09-20 14:55:49
User 4,Source 1,playback,,,2022-09-20 14:55:49
User 4,Source 1,browseTitles,,,2022-09-20 14:55:46
User 4,Source 1,movieDetails,,,2022-09-20 14:55:46
User 4,Source 1,profilesGate,,,2022-09-20 14:55:27
User 4,Source 1,browseTitles,,,2022-09-20 14:55:27
User 4,Source 1,profilesGate,,,2022-09-20 14:55:24
User 4,Source 1,browseTitles,,,2022-09-19 04:04:49
