Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
User 4,AE,Device 0,0,,"Manifest: Season 1: ""Pilot""",play,prequery_results,2022-08-01 13:59:19
User 4,AE,Device 0,0,,,select,prequery_results,2022-08-01 13:59:18
User 4,AE,Device 0,0,,"Manifest: Season 1: ""Pilot""",play,prequery_results,2022-08-01 13:59:07
User 4,AE,Device 0,0,,,select,prequery_results,2022-08-01 13:59:03
User 4,AE,Device 0,0,the gray,The Gray Man,add,title_results,2022-07-17 13:59:23
User 4,AE,Device 0,0,the gray,The Gray Man,select,title_results,2022-07-17 13:59:17
User 4,AE,Device 0,0,,"Stranger Things 4: ""Chapter Nine: The Piggyback""",play,prequery_results,2022-07-01 17:39:31
User 4,AE,Device 0,0,,"Stranger Things 4: ""Chapter Eight: Papa""",play,prequery_results,2022-07-01 17:16:37
User 4,AE,Device 0,0,,"Stranger Things 4: ""Chapter Eight: Papa""",play,prequery_results,2022-07-01 17:15:22
User 4,AE,Device 0,0,,"Stranger Things 4: ""Chapter Eight: Papa""",play,prequery_results,2022-07-01 17:04:54
User 4,AE,Device 0,0,,,select,prequery_results,2022-07-01 17:04:49
User 4,AE,Device 0,0,stra,"Stranger Things 4: ""Chapter Eight: Papa""",play,title_results,2022-07-01 14:28:04
User 4,AE,Device 0,0,stra,"Stranger Things 4: ""Chapter Eight: Papa""",play,title_results,2022-07-01 14:13:00
User 4,AE,Device 0,0,stra,"Stranger Things 4: ""Chapter Eight: Papa""",play,title_results,2022-07-01 14:10:08
User 4,AE,Device 0,0,stra,,select,title_results,2022-07-01 14:09:55
User 4,AE,Device 0,0,sarah shahi,A Perfect Pairing,select,title_results,2022-06-28 04:00:07
User 4,AE,Device 0,0,asu,Asura Guru,play,title_results,2022-06-27 07:49:02
User 4,AE,Device 0,0,asu,Asura Guru,select,title_results,2022-06-27 07:48:59
User 4,AE,Device 0,0,asura,Asura Guru,play,title_results,2022-06-27 05:19:15
User 4,AE,Device 0,0,asura,Asura Guru,play,title_results,2022-06-27 05:10:59
User 4,AE,Device 0,0,asura,Asura Guru,select,title_results,2022-06-27 05:10:53
User 4,AE,Device 0,0,arr,"Arrow: Season 3: ""Suicidal Tendencies""",play,title_results,2022-06-14 03:40:17
User 4,AE,Device 0,0,arr,,select,title_results,2022-06-14 03:40:14
User 4,AE,Device 0,0,arr,"Arrow: Season 3: ""Suicidal Tendencies""",play,title_results,2022-06-13 22:02:50
User 4,AE,Device 0,0,arr,,select,title_results,2022-06-13 22:02:47
User 4,AE,Device 0,0,arr,,select,title_results,2022-06-13 22:02:45
User 4,AE,Device 0,0,arr,,select,title_results,2022-06-13 22:02:40
User 4,AE,Device 0,0,arr,Deep Impact,select,title_results,2022-06-13 22:02:34
User 4,AE,Device 0,0,arr,,select,title_results,2022-06-13 22:02:33
User 4,AE,Device 0,0,arr,"Arrow: Season 3: ""Suicidal Tendencies""",play,title_results,2022-06-13 21:44:04
User 4,AE,Device 0,0,arr,,select,title_results,2022-06-13 21:43:58
User 4,AE,Device 0,0,arr,"Arrow: Season 3: ""Midnight City""",play,title_results,2022-06-13 18:09:35
User 4,AE,Device 0,0,arr,,select,title_results,2022-06-13 18:09:32
User 4,AE,Device 0,0,arr,"Arrow: Season 3: ""Corto Maltese""",play,title_results,2022-06-13 04:40:49
User 4,AE,Device 0,0,arr,"Arrow: Season 3: ""Sara""",play,title_results,2022-06-13 02:24:15
User 4,AE,Device 0,0,arr,,select,title_results,2022-06-13 02:24:11
User 4,AE,Device 0,0,arr,"Arrow: Season 2: ""City of Blood""",play,title_results,2022-06-12 19:35:15
User 4,AE,Device 0,0,arr,,select,title_results,2022-06-12 19:35:12
User 4,AE,Device 0,0,arr,,select,title_results,2022-06-12 19:35:11
User 4,AE,Device 0,0,arr,,select,title_results,2022-06-12 19:34:58
User 4,AE,Device 0,0,arr,"Arrow: Season 2: ""Deathstroke""",play,title_results,2022-06-12 16:27:50
User 4,AE,Device 0,0,arr,,select,title_results,2022-06-12 16:27:47
User 4,AE,Device 0,0,arr,"Arrow: Season 2: ""Tremors""",play,title_results,2022-06-12 06:06:59
User 4,AE,Device 0,0,arr,,select,title_results,2022-06-12 06:06:56
User 4,AE,Device 0,0,cbi,CBI 5: The Brain,play,title_results,2022-06-12 02:18:53
