Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
User 3,Esn 1,Device Type 4,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,
User 1,Esn 6,Device Type 0,2021-12-24T14:40:29.147Z,2022-10-06T17:29:04.497Z,2021-12-24T14:40:29.147Z,2022-10-06T17:29:04.497Z,,,,,
User 2,Esn 6,Device Type 0,2021-12-24T14:40:29.147Z,2022-10-06T17:29:04.497Z,2021-12-24T14:40:29.147Z,2022-10-06T17:29:04.497Z,,,,,
User 3,Esn 6,Device Type 0,2021-12-24T14:40:29.147Z,2022-10-06T17:29:04.497Z,2021-12-24T14:40:29.147Z,2022-10-06T17:29:04.497Z,,,,,
User 0,Esn 6,Device Type 0,2021-12-24T14:40:29.147Z,2022-10-06T17:29:04.497Z,2021-12-24T14:40:29.147Z,2022-10-06T17:29:04.497Z,2022-08-03T16:57:01.297Z,2022-10-06T17:29:04.497Z,2022-08-03T16:57:01.297Z,2022-10-06T17:29:04.497Z,
User 4,Esn 0,Device Type 5,2021-10-31T07:55:44.140Z,2022-09-30T14:54:39.201Z,2021-10-31T07:57:20.172Z,2022-09-30T14:53:01.030Z,2021-10-31T07:55:44.140Z,2022-09-30T14:54:39.201Z,2021-10-31T07:57:20.172Z,2022-09-30T14:53:01.030Z,
User 2,Esn 1,Device Type 4,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,,,,,
User 0,Esn 1,Device Type 4,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,,,,,
User 4,Esn 31,Device Type 1,2021-12-20T07:25:51.497Z,2022-09-12T04:59:59.916Z,2021-12-20T07:25:51.497Z,2022-09-12T04:59:59.916Z,2021-12-20T07:28:30.100Z,2022-09-12T04:59:59.916Z,2021-12-20T07:28:30.100Z,2022-09-12T04:59:59.916Z,
User 4,Esn 1,Device Type 4,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,2022-04-23T10:31:24.249Z,2022-09-04T16:32:31.113Z,2022-04-23T10:31:24.249Z,2022-09-04T16:32:31.113Z,
User 4,Esn 41,Device Type 2,2021-12-24T10:17:58.120Z,2022-08-28T14:14:04.463Z,2021-12-24T10:17:58.120Z,2022-08-03T19:31:35.116Z,2021-12-24T10:17:58.120Z,2022-08-28T14:14:04.463Z,2021-12-24T10:17:58.120Z,2022-08-03T19:31:35.116Z,
User 0,Esn 4,Device Type 0,2022-08-20T08:12:12.572Z,2022-08-20T08:13:35.880Z,2022-08-20T08:12:12.572Z,2022-08-20T08:13:35.880Z,2022-08-20T08:12:12.572Z,2022-08-20T08:13:35.880Z,2022-08-20T08:12:12.572Z,2022-08-20T08:13:35.880Z,
User 4,Esn 5,Device Type 2,2022-08-17T06:29:39.158Z,2022-08-17T06:29:39.158Z,,,2022-08-17T06:29:39.158Z,2022-08-17T06:29:39.158Z,,,
User 2,Esn 5,Device Type 2,2022-08-17T06:29:39.158Z,2022-08-17T06:29:39.158Z,,,,,,,
User 3,Esn 5,Device Type 2,2022-08-17T06:29:39.158Z,2022-08-17T06:29:39.158Z,,,,,,,
User 0,Esn 5,Device Type 2,2022-08-17T06:29:39.158Z,2022-08-17T06:29:39.158Z,,,,,,,
User 1,Esn 5,Device Type 2,2022-08-17T06:29:39.158Z,2022-08-17T06:29:39.158Z,,,,,,,
User 4,Esn 4,Device Type 0,2022-08-20T08:12:12.572Z,2022-08-20T08:13:35.880Z,2022-08-20T08:12:12.572Z,2022-08-20T08:13:35.880Z,,,,,
