Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
User 1,2022-04-28 16:08:56,00:00:06,,Chernobyl 1986,,Device Type 1,01:02:16,01:02:16,IN (India)
User 1,2022-04-28 15:54:30,00:09:39,,13 Hours: The Secret Soldiers of Benghazi,,Device Type 1,02:13:19,02:13:19,IN (India)
User 1,2022-04-28 15:53:20,00:00:06,,Saving Private Ryan,,Device Type 1,01:16:17,01:16:17,IN (India)
User 1,2022-04-28 15:52:18,00:00:15,,Mosul,,Device Type 1,01:06:44,01:06:44,IN (India)
User 1,2022-04-28 15:49:11,00:01:45,,12 Strong,,Device Type 1,00:52:28,00:52:28,IN (India)
User 1,2022-04-26 02:32:00,00:00:03,,Fifty Shades of Grey,,Device Type 1,01:45:06,01:45:06,IN (India)
User 1,2022-04-26 02:26:33,00:04:33,,Jaoon Kahan Bata Ae Dil,,Device Type 1,01:28:15,01:28:15,IN (India)
User 1,2022-04-26 02:13:30,00:12:13,,Jaoon Kahan Bata Ae Dil,,Device Type 1,01:21:49,Not latest view,IN (India)
User 1,2022-04-26 02:13:28,00:00:01,,Jaoon Kahan Bata Ae Dil,,Device Type 1,00:01:05,Not latest view,IN (India)
User 1,2022-04-26 02:13:00,00:00:24,,Jaoon Kahan Bata Ae Dil,,Device Type 1,00:01:12,Not latest view,IN (India)
User 1,2022-04-23 13:44:09,00:01:13,,Etharkkum Thunindhavan,,Device Type 4,00:52:02,00:52:02,IN (India)
User 1,2022-04-23 10:32:15,00:00:03,,Night Drive,,Device Type 4,00:00:03,00:00:03,IN (India)
User 1,2022-01-16 18:47:14,00:00:06,,Season 1 Trailer: All of Us Are Dead,TRAILER,Device Type 1,00:00:06,00:00:06,IN (India)
User 1,2022-01-14 14:57:44,00:00:23,,Season 3 Moment of High Emotion Clip: Lost in Space,HOOK,Device Type 1,00:00:23,00:00:23,IN (India)
User 1,2022-01-14 14:57:20,00:00:06,,Peaky Blinders: Season 1_hook_primary_16x9,HOOK,Device Type 1,00:00:06,00:00:06,IN (India)
User 1,2022-01-14 14:55:42,00:00:36,,Narcos: Season 1 (Trailer),TRAILER,Device Type 1,00:00:36,00:00:36,IN (India)
User 1,2022-01-14 14:55:33,00:00:04,,Season 1 Trailer 3: The Witcher,TRAILER,Device Type 1,00:00:04,00:00:04,IN (India)
User 1,2022-01-14 14:54:32,00:00:10,,The Circle_hook_primary_16x9,HOOK,Device Type 1,00:00:10,00:00:10,IN (India)
User 1,2022-01-14 13:11:08,00:00:11,,Season 1 Main Character Intro Clip: Yeh Kaali Kaali Ankhein,HOOK,Device Type 1,00:00:11,00:00:11,IN (India)
